145,businesstravellogue,7:10 AM,3:30 PM
1138,helloflight,,
1141,businesstravellogue,,
2064,orbitz,3:05 PM,6:30 PM
825,quicktrip,9:00 PM,12:15 AM
486,wunderground,1:00 PM,2:14 PM
1601,panynj,,
1701,panynj,4:00 PM,6:40 PM
261,helloflight,8:55 AM,11:45 AM
1521,helloflight,,
1355,airtravelcenter,,
1350,usatoday,6:00 AM,6:40 AM
183,ifly,7:00 AM,9:55 AM
1401,flightexplorer,,
1091,airtravelcenter,,
158,weather,7:10 AM,3:30 PM
1213,flytecomm,10:25 AM,6:44 PM
2009,panynj,8:35 AM,11:50 AM
944,myrateplan,,
1991,weather,12:00 PM,3:15 PM
334,quicktrip,11:05 AM,4:57 PM
2255,myrateplan,,
1201,allegiantair,10:15 AM,12:10 PM
50,airtravelcenter,,
1676,quicktrip,4:00 PM,7:05 PM
880,gofox,2:35 PM,4:05 PM
68,weather,1:30 PM,3:50 PM
718,flytecomm,,
1183,aa,10:15 AM,12:10 PM
1797,airtravelcenter,,
1499,wunderground,7:15 AM,10:18 AM
2091,orbitz,6:45 PM,9:10 PM
137,flightexplorer,,
230,foxbusiness,6:40 AM,9:25 AM
2050,wunderground,3:05 PM,5:57 PM
2301,gofox,7:45 PM,10:30 PM
407,panynj,,
2322,flytecomm,9:45 AM,1:16 PM
1273,allegiantair,7:15 PM,12:21 AM
2303,foxbusiness,7:45 PM,10:30 PM
1278,ifly,7:15 PM,12:21 AM
2304,foxbusiness,7:45 PM,10:30 PM
878,flightview,2:35 PM,4:05 PM
412,orbitz,11:40 AM,1:17 PM
2095,mytripandmore,6:45 PM,9:10 PM
2131,flightaware,11:25 PM,6:30 AM
1659,travelocity,11:50 AM,3:50 PM
1059,ord,8:00 PM,9:45 PM
1683,boston,4:00 PM,7:05 PM
1522,flytecomm,,
1216,flylouisville,,
1899,gofox,,
572,travelocity,3:27 PM,5:05 PM
362,panynj,11:55 AM,6:17 PM
1861,boston,,
1247,foxbusiness,4:15 PM,7:55 PM
2148,mco,,6:55 AM
1906,usatoday,,
1135,flightexplorer,,
1894,flylouisville,,
2445,flightarrival,,
1795,aa,6:45 AM,7:45 AM
2000,flightaware,8:35 AM,11:22 AM
2420,allegiantair,,
829,gofox,9:00 PM,12:15 AM
949,flights,10:40 AM,12:55 PM
849,flylouisville,7:55 AM,11:05 AM
281,flightaware,6:30 PM,7:08 PM
879,panynj,2:35 PM,4:05 PM
331,businesstravellogue,11:05 AM,4:57 PM
2284,flytecomm,,
2375,flightview,11:08 PM,5:11 AM
1366,world-flight-tracker,8:25 PM,11:50 PM
1950,airtravelcenter,11:25 AM,2:50 PM
253,foxbusiness,,
1855,flylouisville,,
14,foxbusiness,,
591,boston,,
2123,mytripandmore,7:30 AM,8:00 AM
1483,panynj,,
339,foxbusiness,11:05 AM,4:57 PM
555,ua,3:27 PM,5:05 PM
1405,flytecomm,,
406,flightview,,
338,gofox,11:05 AM,4:57 PM
2240,world-flight-tracker,2:55 PM,5:55 PM
2314,ord,7:45 PM,10:30 PM
455,weather,10:39 AM,11:19 AM
1480,flightstats,3:35 PM,4:00 PM
2211,businesstravellogue,9:05 AM,12:35 PM
79,helloflight,,
1015,airtravelcenter,2:53 PM,4:48 PM
2124,aa,11:25 PM,6:55 AM
927,businesstravellogue,,
850,flightstats,7:55 AM,11:05 AM
2016,weather,8:35 AM,11:50 AM
1705,boston,4:00 PM,6:40 PM
2047,helloflight,,
785,sfo,,10:45 AM
1210,airtravelcenter,10:25 AM,6:44 PM
262,flytecomm,8:55 AM,11:45 AM
2110,quicktrip,7:30 AM,8:00 AM
410,allegiantair,,
2136,flightstats,11:25 PM,6:55 AM
1805,flylouisville,6:45 AM,7:45 AM
961,travelocity,10:40 AM,12:55 PM
965,flightarrival,10:40 AM,12:55 PM
300,mytripandmore,6:30 PM,7:25 PM
2393,wunderground,1:29 PM,3:55 PM
666,gofox,6:00 PM,7:10 PM
498,boston,1:00 PM,2:35 PM
789,flightwise,7:10 AM,10:09 AM
543,world-flight-tracker,3:50 PM,6:23 PM
318,orbitz,9:05 AM,11:53 AM
298,mco,,7:25 PM
1651,quicktrip,11:50 AM,3:50 PM
603,flightaware,1:05 PM,2:17 PM
1806,flightstats,6:45 AM,7:45 AM
237,aa,4:55 PM,8:05 AM
1468,flightexplorer,,
302,flightarrival,6:30 PM,7:25 PM
30,businesstravellogue,,
1526,businesstravellogue,,
1319,foxbusiness,4:00 PM,6:46 PM
468,flightview,,
2275,aa,7:45 PM,10:30 PM
675,usatoday,5:30 PM,6:09 PM
1715,ua,4:25 PM,12:29 AM
751,flightview,,
827,flightview,9:00 PM,12:15 AM
249,quicktrip,4:55 PM,8:05 PM
822,businesstravellogue,9:00 PM,12:15 AM
788,mytripandmore,7:10 AM,10:45 AM
2036,gofox,,
1364,flightstats,8:25 PM,11:50 PM
71,ua,12:30 PM,3:19 PM
1090,flightexplorer,,
111,flightarrival,,
1062,mytripandmore,8:00 PM,9:45 PM
1934,wunderground,5:25 PM,8:04 PM
1517,flightwise,7:15 AM,10:18 AM
1227,ifly,10:25 AM,6:44 PM
2268,boston,,
517,world-flight-tracker,6:00 AM,9:20 AM
170,flylouisville,7:00 AM,9:55 AM
1382,myrateplan,8:40 AM,10:54 AM
1618,flightaware,2:30 PM,5:40 PM
2246,boston,2:55 PM,5:55 PM
1916,quicktrip,7:53 AM,1:39 PM
1220,panynj,,
316,boston,,
1223,allegiantair,,
2242,panynj,2:55 PM,5:55 PM
633,flightstats,2:30 PM,7:03 PM
551,orbitz,3:50 PM,6:23 PM
1599,quicktrip,11:45 AM,2:00 PM
77,myrateplan,,
1563,orbitz,7:10 AM,9:35 AM
1344,allegiantair,6:00 AM,6:40 AM
2168,allegiantair,12:10 PM,2:15 PM
41,orbitz,8:41 AM,9:54 AM
1072,flights,11:35 AM,2:25 PM
1122,flylouisville,,
2364,airtravelcenter,11:08 PM,5:11 AM
1397,orbitz,8:40 AM,10:54 AM
1422,weather,6:59 AM,10:34 AM
814,flightexplorer,9:00 PM,12:15 AM
610,world-flight-tracker,1:05 PM,2:35 PM
2019,mytripandmore,8:35 AM,11:50 AM
956,panynj,10:40 AM,12:55 PM
1859,foxbusiness,,
2371,businesstravellogue,11:08 PM,5:11 AM
9,flightstats,2:55 PM,4:53 PM
2254,airtravelcenter,,
1941,panynj,,
583,flylouisville,,
1347,orbitz,6:00 AM,6:40 AM
844,flytecomm,,
2006,quicktrip,8:35 AM,11:50 AM
1006,allegiantair,7:15 AM,11:35 AM
1333,wunderground,6:00 AM,6:30 AM
1221,gofox,,
1244,flightview,4:15 PM,7:55 PM
694,flylouisville,,
496,foxbusiness,1:00 PM,2:35 PM
1125,flightview,,
2022,flightexplorer,,
1004,gofox,7:15 AM,11:35 AM
1869,helloflight,,
1609,ord,11:45 AM,2:00 PM
348,ua,11:55 AM,6:17 PM
296,orbitz,6:30 PM,7:25 PM
225,quicktrip,6:40 AM,9:25 AM
1893,businesstravellogue,,
205,allegiantair,6:00 AM,7:30 AM
1169,quicktrip,7:25 AM,11:10 AM
1066,airtravelcenter,,
2140,panynj,11:25 PM,6:55 AM
246,businesstravellogue,,
1205,weather,10:15 AM,12:10 PM
919,flightarrival,1:33 PM,4:31 PM
176,gofox,7:00 AM,9:55 AM
810,mytripandmore,2:55 PM,4:49 PM
1933,flightaware,5:25 PM,8:04 PM
399,flightaware,11:40 AM,12:51 PM
2297,flightview,7:45 PM,10:30 PM
286,flightstats,6:30 PM,7:25 PM
1390,flightview,,
2442,allegiantair,,
223,flylouisville,6:40 AM,9:25 AM
477,mytripandmore,12:30 AM,5:35 PM
2183,wunderground,12:15 PM,2:35 PM
1294,panynj,,
1114,airtravelcenter,7:10 AM,8:56 PM
1328,airtravelcenter,,
2204,airtravelcenter,,
532,airtravelcenter,,
817,helloflight,,
1981,quicktrip,12:00 PM,3:15 PM
1426,airtravelcenter,,
2117,boston,7:30 AM,8:00 AM
1432,flylouisville,,
488,businesstravellogue,1:00 PM,2:35 PM
1100,flightview,,
2111,world-flight-tracker,7:30 AM,8:00 AM
540,flylouisville,3:50 PM,6:23 PM
1917,flightview,,
1020,businesstravellogue,,
1226,weather,10:25 AM,6:44 PM
2438,flightview,,
2043,mytripandmore,7:00 PM,10:15 PM
773,flightstats,7:10 AM,10:45 AM
1335,businesstravellogue,6:00 AM,6:40 AM
2089,boston,6:45 PM,9:10 PM
781,boston,7:10 AM,10:45 AM
2020,flightarrival,8:35 AM,11:50 AM
1639,aa,11:50 AM,3:50 PM
1256,CO,7:15 PM,12:21 AM
568,gofox,3:27 PM,5:05 PM
1874,flightstats,2:55 PM,5:00 PM
355,flights,11:55 AM,6:17 PM
377,flights,,
386,travelocity,11:25 AM,5:25 PM
1182,flightwise,7:25 AM,10:43 AM
1549,wunderground,7:10 AM,9:00 AM
1902,boston,,
786,ifly,7:10 AM,10:45 AM
1568,ua,1:55 PM,7:53 PM
1022,flightstats,2:53 PM,4:48 PM
2195,boston,12:15 PM,2:45 PM
1127,gofox,,
1923,travelocity,,
450,gofox,,
737,mia,,2:45 PM
1809,flightview,6:45 AM,7:45 AM
1975,flightaware,12:00 PM,2:47 PM
1021,flylouisville,,
393,CO,11:40 AM,1:17 PM
1251,orbitz,4:15 PM,7:55 PM
405,quicktrip,11:40 AM,1:17 PM
2121,ord,7:30 AM,8:00 AM
392,flightarrival,11:25 AM,5:25 PM
2160,flylouisville,12:10 PM,2:15 PM
2396,flylouisville,,
2283,helloflight,,
1828,flightaware,9:15 AM,12:08 PM
274,flightarrival,,
2139,flightview,11:25 PM,6:55 AM
73,flightexplorer,,
1211,myrateplan,10:25 AM,6:44 PM
853,flightview,7:55 AM,11:05 AM
2431,flightaware,7:35 AM,9:11 AM
2404,boston,,
896,flytecomm,,
741,CO,2:30 PM,7:03 PM
1702,gofox,4:00 PM,6:40 PM
1230,aa,4:15 PM,7:55 PM
831,allegiantair,9:00 PM,12:15 AM
972,flights,8:00 AM,11:55 AM
1804,businesstravellogue,6:45 AM,7:45 AM
282,wunderground,6:30 PM,7:08 PM
2173,usatoday,12:10 PM,2:15 PM
121,flylouisville,,
861,weather,7:55 AM,11:05 AM
665,panynj,5:30 PM,6:40 PM
487,flights,1:00 PM,2:35 PM
417,myrateplan,,
2346,businesstravellogue,,
277,airtravelcenter,6:30 PM,
1058,weather,8:00 PM,9:45 PM
1450,helloflight,6:00 AM,10:20 AM
1970,flightexplorer,,
380,flightview,,
222,businesstravellogue,6:40 AM,9:25 AM
1430,flights,,
1553,flightstats,7:10 AM,9:35 AM
1018,flytecomm,2:53 PM,4:48 PM
1037,flightexplorer,,
1360,wunderground,8:25 PM,11:31 PM
1016,myrateplan,2:53 PM,4:48 PM
