,0
1269,1
2153,2
751,3
253,4
367,5
129,6
6:44 PM,7
2130,8
881,9
1340,10
394,11
503,12
1130,13
100,14
1623,15
2:14 PM,16
2071,17
1456,18
621,19
1236,20
944,21
2132,22
2434,23
1611,24
9:00 PM,25
656,26
1478,27
1367,28
1702,29
11:40 AM,30
2172,31
9:43 AM,32
942,33
1260,34
1060,35
1360,36
1557,37
1321,38
2024,39
2195,40
372,41
1255,42
1188,43
2127,44
92,45
634,46
586,47
201,48
317,49
1906,50
1584,51
2421,52
597,53
1092,54
746,55
690,56
613,57
1816,58
453,59
1982,60
797,61
421,62
2163,63
1612,64
514,65
1910,66
700,67
989,68
256,69
1343,70
1855,71
220,72
452,73
1719,74
38,75
7:35 AM,76
2435,77
56,78
1921,79
1730,80
518,81
1671,82
769,83
79,84
1284,85
2037,86
1266,87
533,88
280,89
963,90
393,91
249,92
335,93
1148,94
573,95
6:45 AM,96
1376,97
576,98
1836,99
477,100
1258,101
2346,102
415,103
2378,104
153,105
966,106
flightwise,107
1088,108
724,109
2337,110
1077,111
1045,112
1811,113
1973,114
546,115
757,116
230,117
756,118
438,119
863,120
1825,121
2328,122
2029,123
1409,124
397,125
548,126
1154,127
157,128
960,129
1139,130
1812,131
395,132
212,133
12:10 PM,134
2125,135
961,136
1326,137
1103,138
1110,139
1780,140
1987,141
490,142
998,143
1065,144
670,145
184,146
2190,147
2295,148
26,149
196,150
1068,151
2139,152
1904,153
1031,154
890,155
1573,156
1136,157
635,158
1083,159
2362,160
1970,161
1842,162
59,163
1657,164
1006,165
1959,166
1662,167
1175,168
7:05 PM,169
1080,170
1818,171
1676,172
1744,173
1704,174
1221,175
1:17 PM,176
12:21 AM,177
1132,178
11:15 AM,179
156,180
2208,181
315,182
931,183
1415,184
104,185
928,186
996,187
1641,188
1645,189
346,190
2233,191
1822,192
1496,193
2111,194
2372,195
1726,196
475,197
210,198
1546,199
1577,200
2319,201
2262,202
1373,203
2302,204
2344,205
1916,206
2408,207
2256,208
1829,209
2303,210
1620,211
839,212
2399,213
916,214
254,215
2085,216
420,217
461,218
110,219
2147,220
609,221
1086,222
5:40 PM,223
1316,224
7:25 PM,225
4:25 PM,226
1838,227
2040,228
499,229
2:48 PM,230
1944,231
279,232
43,233
687,234
2003,235
99,236
2306,237
430,238
840,239
2268,240
2100,241
1381,242
2082,243
9,244
93,245
1262,246
1320,247
10:31 AM,248
1461,249
1416,250
535,251
1513,252
1931,253
265,254
1119,255
715,256
2409,257
1363,258
273,259
1830,260
1146,261
1480,262
311,263
468,264
860,265
992,266
380,267
9:30 AM,268
2:35 PM,269
7:38 PM,270
189,271
1636,272
2205,273
1359,274
1778,275
1126,276
2055,277
241,278
530,279
2176,280
513,281
172,282
433,283
805,284
130,285
272,286
7:45 PM,287
553,288
1011,289
225,290
"Thu, Dec 1 10:39 AM",291
1073,292
2264,293
10:57 AM,294
12:05 PM,295
1030,296
355,297
193,298
2361,299
138,300
1224,301
2017,302
824,303
1070,304
1935,305
261,306
1873,307
1748,308
271,309
12:18 PM,310
1655,311
412,312
281,313
2404,314
106,315
1820,316
usatoday,317
orbitz,318
505,319
2133,320
283,321
554,322
1942,323
1967,324
1457,325
1960,326
209,327
2001,328
594,329
1588,330
373,331
213,332
1569,333
531,334
929,335
872,336
1237,337
flylouisville,338
2116,339
298,340
1276,341
103,342
11:25 PM,343
1213,344
985,345
1779,346
2015,347
9:25 AM,348
2027,349
2213,350
2338,351
1308,352
2259,353
611,354
955,355
770,356
1037,357
1739,358
2281,359
1022,360
1613,361
1318,362
1105,363
7:15 AM,364
422,365
1511,366
1517,367
1796,368
1936,369
625,370
866,371
1515,372
ord,373
1633,374
75,375
567,376
1475,377
1885,378
159,379
2237,380
900,381
1395,382
1433,383
1580,384
389,385
2278,386
1254,387
7:45 AM,388
560,389
11:45 AM,390
600,391
dfw,392
1490,393
1090,394
1209,395
131,396
761,397
775,398
661,399
1044,400
1250,401
855,402
2357,403
2186,404
2053,405
5:17 PM,406
2390,407
2324,408
1434,409
377,410
10:35 AM,411
1526,412
1204,413
2094,414
1795,415
1581,416
1634,417
969,418
57,419
72,420
2356,421
1962,422
2241,423
926,424
6:00 PM,425
665,426
1566,427
1429,428
2067,429
1396,430
1062,431
1765,432
1489,433
703,434
970,435
1851,436
496,437
2173,438
659,439
1528,440
5:11 AM,441
1039,442
1273,443
375,444
1393,445
812,446
1668,447
1271,448
2047,449
1877,450
1852,451
2077,452
492,453
528,454
819,455
2364,456
2192,457
1227,458
1477,459
480,460
8:29 PM,461
1963,462
390,463
1930,464
35,465
339,466
10:48 PM,467
1473,468
709,469
1863,470
2189,471
1874,472
2290,473
11:55 PM,474
1279,475
1406,476
54,477
5:30 PM,478
1190,479
1746,480
743,481
1727,482
809,483
482,484
2402,485
1170,486
1955,487
226,488
1494,489
353,490
4,491
2:20 PM,492
1437,493
2400,494
2296,495
2350,496
557,497
409,498
444,499
1482,500
gofox,501
7:26 PM,502
2045,503
2109,504
2180,505
2263,506
1107,507
1342,508
2327,509
451,510
1195,511
1392,512
1914,513
285,514
250,515
1728,516
2160,517
1724,518
307,519
2384,520
2014,521
2392,522
1097,523
485,524
10:30 PM,525
2123,526
2225,527
1426,528
1738,529
2031,530
2316,531
1756,532
2092,533
9:10 PM,534
796,535
1606,536
1474,537
2285,538
7:10 AM,539
1507,540
2194,541
181,542
1854,543
2341,544
901,545
322,546
2340,547
1169,548
2201,549
1939,550
1878,551
297,552
1965,553
267,554
418,555
1275,556
2283,557
98,558
11:43 AM,559
1299,560
1201,561
1297,562
1422,563
1975,564
5:57 PM,565
728,566
1646,567
2433,568
1929,569
1667,570
1361,571
278,572
1617,573
197,574
8:27 AM,575
671,576
1683,577
1141,578
71,579
534,580
1670,581
1285,582
614,583
1788,584
1703,585
1832,586
3:35 PM,587
1864,588
1419,589
1439,590
76,591
1425,592
9:35 AM,593
708,594
1774,595
1514,596
2221,597
2431,598
1679,599
7:05 AM,600
1924,601
234,602
10:55 AM,603
29,604
2046,605
231,606
1798,607
260,608
179,609
9:54 AM,610
2293,611
877,612
510,613
109,614
1784,615
277,616
1082,617
356,618
997,619
1733,620
2414,621
340,622
2000,623
147,624
764,625
1200,626
1247,627
1379,628
174,629
758,630
908,631
1917,632
427,633
11:53 AM,634
2039,635
205,636
580,637
7:53 AM,638
2006,639
882,640
332,641
693,642
44,643
2113,644
639,645
416,646
63,647
1115,648
2396,649
8:55 AM,650
1142,651
1194,652
388,653
1538,654
37,655
1805,656
359,657
337,658
1345,659
478,660
2170,661
460,662
11:52 PM,663
1466,664
1826,665
1225,666
1087,667
828,668
2:25 PM,669
512,670
10:18 AM,671
749,672
34,673
2:55 PM,674
195,675
1567,676
2168,677
2266,678
188,679
825,680
2146,681
1244,682
344,683
1776,684
905,685
2120,686
309,687
972,688
1353,689
323,690
1114,691
1008,692
1303,693
11:10 AM,694
2121,695
326,696
1693,697
85,698
182,699
484,700
1:29 PM,701
508,702
1714,703
2034,704
1445,705
1604,706
511,707
1869,708
186,709
911,710
2013,711
402,712
1229,713
347,714
1556,715
1010,716
919,717
1053,718
1405,719
2200,720
2149,721
1650,722
1464,723
1735,724
9:20 AM,725
10:25 AM,726
1610,727
5:35 PM,728
2197,729
1328,730
1498,731
ifly,732
2073,733
601,734
67,735
1519,736
1338,737
87,738
714,739
2049,740
12:08 PM,741
1980,742
349,743
1313,744
1632,745
591,746
300,747
522,748
11:50 PM,749
1161,750
745,751
1:16 PM,752
2007,753
571,754
1131,755
2377,756
1049,757
2119,758
652,759
flightarrival,760
2320,761
800,762
2323,763
1552,764
338,765
702,766
1135,767
2165,768
2199,769
2215,770
2:45 PM,771
1602,772
1656,773
2228,774
1710,775
97,776
668,777
382,778
2261,779
2074,780
246,781
flightview,782
888,783
6:46 PM,784
2220,785
2425,786
2355,787
2193,788
2087,789
1059,790
1583,791
1014,792
8:00 PM,793
202,794
124,795
2294,796
1:00 PM,797
1268,798
6:09 PM,799
1898,800
185,801
sfo,802
1789,803
2329,804
1576,805
2124,806
1023,807
275,808
2069,809
2198,810
2330,811
2250,812
62,813
2429,814
1199,815
1542,816
1280,817
1452,818
1653,819
2137,820
2349,821
58,822
1548,823
1182,824
9:45 PM,825
1999,826
1185,827
1607,828
1751,829
105,830
1295,831
1807,832
1248,833
1647,834
2207,835
2441,836
2035,837
391,838
1767,839
2354,840
837,841
995,842
604,843
1690,844
903,845
2103,846
2417,847
1536,848
1127,849
1499,850
1880,851
1017,852
2218,853
1549,854
1678,855
2254,856
889,857
1595,858
1282,859
737,860
406,861
474,862
52,863
2023,864
2311,865
27,866
435,867
1644,868
1927,869
1129,870
1848,871
472,872
515,873
650,874
2105,875
680,876
774,877
1493,878
2054,879
1862,880
weather,881
1094,882
12:51 PM,883
1819,884
713,885
11:50 AM,886
2:17 PM,887
1149,888
1270,889
162,890
122,891
589,892
1052,893
521,894
1278,895
7:55 AM,896
1700,897
8:19 AM,898
270,899
2335,900
6:30 AM,901
18,902
1211,903
1455,904
1956,905
128,906
1600,907
1731,908
368,909
9:40 PM,910
1856,911
1218,912
1421,913
428,914
288,915
1998,916
2141,917
1976,918
1075,919
2366,920
2177,921
1642,922
1249,923
2224,924
2038,925
704,926
1639,927
2117,928
657,929
10:34 AM,930
1230,931
2106,932
722,933
2112,934
4:37 PM,935
694,936
965,937
808,938
1666,939
1718,940
753,941
1164,942
1596,943
3:50 PM,944
1369,945
127,946
695,947
199,948
1317,949
947,950
1253,951
2438,952
1619,953
17,954
539,955
1355,956
90,957
1984,958
289,959
815,960
2088,961
1590,962
207,963
1966,964
1964,965
541,966
949,967
163,968
1403,969
741,970
2333,971
1903,972
69,973
1781,974
2021,975
60,976
2298,977
120,978
1717,979
238,980
630,981
642,982
1362,983
1324,984
446,985
1926,986
2203,987
5:15 PM,988
462,989
794,990
2068,991
1601,992
984,993
121,994
1323,995
3:15 PM,996
11:05 AM,997
1701,998
1592,999
1348,1000
276,1001
2059,1002
1915,1003
1287,1004
292,1005
2292,1006
968,1007
1202,1008
1325,1009
1046,1010
1591,1011
1098,1012
229,1013
2202,1014
401,1015
592,1016
1259,1017
707,1018
119,1019
2398,1020
mia,1021
1813,1022
2011,1023
1969,1024
691,1025
businesstravellogue,1026
88,1027
5:55 PM,1028
396,1029
1239,1030
595,1031
481,1032
641,1033
2371,1034
2235,1035
363,1036
633,1037
9:24 AM,1038
1971,1039
891,1040
1189,1041
2426,1042
89,1043
1892,1044
527,1045
2326,1046
471,1047
1178,1048
2405,1049
1800,1050
1938,1051
318,1052
45,1053
677,1054
1050,1055
385,1056
1659,1057
727,1058
1986,1059
1322,1060
1687,1061
831,1062
7,1063
237,1064
519,1065
2231,1066
945,1067
1093,1068
1074,1069
1550,1070
1470,1071
859,1072
1900,1073
1747,1074
1400,1075
2322,1076
465,1077
1041,1078
1121,1079
581,1080
4:17 PM,1081
1775,1082
910,1083
1665,1084
2304,1085
330,1086
2252,1087
1870,1088
636,1089
675,1090
504,1091
1370,1092
1694,1093
932,1094
1174,1095
458,1096
2334,1097
1181,1098
697,1099
1616,1100
1809,1101
450,1102
909,1103
1116,1104
1339,1105
1407,1106
65,1107
1572,1108
16,1109
654,1110
862,1111
540,1112
2239,1113
566,1114
2243,1115
950,1116
1587,1117
141,1118
145,1119
821,1120
801,1121
2210,1122
1974,1123
740,1124
1300,1125
792,1126
993,1127
1614,1128
2211,1129
1451,1130
1084,1131
1042,1132
2030,1133
856,1134
1349,1135
86,1136
426,1137
2430,1138
1005,1139
1570,1140
1160,1141
1102,1142
1736,1143
787,1144
760,1145
2394,1146
563,1147
2051,1148
584,1149
1215,1150
10:36 PM,1151
617,1152
1444,1153
1540,1154
1631,1155
682,1156
2183,1157
333,1158
1534,1159
619,1160
302,1161
556,1162
12:45 PM,1163
470,1164
2:05 PM,1165
2369,1166
12:30 PM,1167
502,1168
469,1169
4:00 PM,1170
2279,1171
1479,1172
1895,1173
562,1174
2072,1175
2275,1176
814,1177
4:15 PM,1178
408,1179
938,1180
6:40 AM,1181
369,1182
673,1183
12:57 PM,1184
383,1185
1382,1186
2101,1187
9:00 AM,1188
1418,1189
1578,1190
1246,1191
532,1192
1007,1193
953,1194
343,1195
429,1196
1713,1197
1866,1198
1547,1199
1095,1200
1123,1201
558,1202
139,1203
2282,1204
2041,1205
1138,1206
2288,1207
19,1208
1872,1209
12:00 AM,1210
644,1211
1,1212
2143,1213
41,1214
1:35 PM,1215
440,1216
1288,1217
1305,1218
1661,1219
1685,1220
1785,1221
10:09 AM,1222
588,1223
1677,1224
345,1225
1901,1226
1985,1227
194,1228
959,1229
849,1230
2273,1231
137,1232
324,1233
894,1234
1312,1235
2312,1236
2313,1237
2107,1238
1509,1239
6:14 AM,1240
1252,1241
1054,1242
1754,1243
1840,1244
861,1245
1860,1246
798,1247
1837,1248
1947,1249
1145,1250
28,1251
25,1252
2:00 PM,1253
434,1254
4:49 PM,1255
236,1256
2140,1257
1803,1258
817,1259
255,1260
1002,1261
436,1262
1143,1263
1391,1264
2126,1265
403,1266
2178,1267
1663,1268
643,1269
940,1270
1911,1271
2144,1272
946,1273
1889,1274
2363,1275
999,1276
2:30 PM,1277
1505,1278
1734,1279
3:05 PM,1280
730,1281
1488,1282
2388,1283
486,1284
1535,1285
582,1286
228,1287
725,1288
927,1289
1560,1290
2167,1291
2236,1292
1952,1293
6:13 AM,1294
1531,1295
1783,1296
1853,1297
219,1298
439,1299
520,1300
1769,1301
24,1302
1471,1303
983,1304
1922,1305
2181,1306
5:05 PM,1307
11:08 PM,1308
1994,1309
620,1310
8:00 AM,1311
282,1312
2076,1313
2370,1314
1758,1315
726,1316
1529,1317
564,1318
2154,1319
1486,1320
655,1321
853,1322
577,1323
698,1324
4:43 PM,1325
2084,1326
8:51 AM,1327
1241,1328
1441,1329
1554,1330
1491,1331
1723,1332
1741,1333
1301,1334
2445,1335
10:00 AM,1336
568,1337
1709,1338
1815,1339
1029,1340
976,1341
648,1342
2244,1343
735,1344
2284,1345
1833,1346
1309,1347
2232,1348
1238,1349
7:30 AM,1350
646,1351
123,1352
734,1353
1564,1354
1561,1355
173,1356
1214,1357
1608,1358
1061,1359
1388,1360
885,1361
1586,1362
443,1363
1357,1364
1085,1365
1605,1366
1593,1367
2358,1368
9:40 AM,1369
951,1370
524,1371
9:18 PM,1372
329,1373
10:39 AM,1374
12:15 PM,1375
217,1376
1791,1377
902,1378
386,1379
36,1380
2436,1381
622,1382
780,1383
738,1384
1192,1385
1544,1386
171,1387
1720,1388
400,1389
2:10 PM,1390
1203,1391
1462,1392
827,1393
2308,1394
948,1395
66,1396
750,1397
1539,1398
651,1399
310,1400
836,1401
417,1402
1231,1403
1565,1404
387,1405
923,1406
